,political_review,date
3646,Egypt sends 28 more tons of humanitarian aid to Beirut,2020-08-24
3647,Egypt drafts plan to deliver natural gas to New Valley governorate for the first time,2020-08-24
3648,"Egypt, France FMs welcome Libyan ceasefire, discuss Mideast developments",2020-08-24
3649,"Egypt reports 103 new coronavirus cases, 19 deaths on Sunday",2020-08-24
3650,Egypt's Giza Zoo opens to public on Monday after 5 months of closure,2020-08-23
3651,Egypt’s Coptic Orthodox Church to resume Friday masses starting 11 September,2020-08-23
3652,Al-Azhar grand imam asks to attend parliament session to reiterate rejection of bill ‘undermining its powers’,2020-08-23
3653,Egypt parliament to discuss new economic and financial laws on Monday,2020-08-23
3654,Egypt's Sisi ratifies decree to join AU anti-corruption convention,2020-08-23
3655,"Egypt, Germany stress importance of using Libyan ceasefire to reach political settlement",2020-08-23
3656,"Egypt, Jordan, and Iraq to hold trilateral summit in Amman this week",2020-08-23
3657,Egypt records 89 new coronavirus cases on Saturday; lowest since April,2020-08-22
3658,Egypt opens centre for monitoring building violations through satellite technology,2020-08-22
3659,"Egypt, Sudan discuss cooperation to treat 250,000 Sudanese citizens for Hepatitis C",2020-08-22
3660,Muslim advocacy group pushes for hate crime probe after Egyptian-American teen attacked in NY,2020-08-22
3661,"Egypt installs GPS in 1,000 buses",2020-08-22
3662,"Egypt, Sudan, Ethiopia preparing preliminary draft proposals on rules of filling, operating GERD",2020-08-22
3663,"Egypt allocates EGP 122 bln for higher education, EGP 60 bln for scientific research: Finance minister",2020-08-22
3664,INTERVIEW: ‘Hail Mary – Our Lady of Help’,2020-08-22
3665,"Egypt reports 123 new coronavirus cases, 19 deaths on Friday ",2020-08-22
3666,"Egypt’s Journalists Syndicate urges members to report sexual assault, harassment to authorities",2020-08-21
3667,Egypt’s Sisi welcomes Libyan ceasefire,2020-08-21
3668,"Egypt’s coronavirus cases top 97,000 on Thursday",2020-08-21
3669,"Egypt provides $1.6 mln in medical aid to help African countries fight coronavirus, to disburse $2.2 mln more: PM",2020-08-20
3670,Egypt dispatches third aid shipment to flood-hit Sudan,2020-08-20
3671,Egypt deeply concerned with developments in Mali: Foreign ministry ,2020-08-20
3672,Ethiopia to start second phase of GERD filling in August 2021: PM,2020-08-20
3673,Greece to ratify maritime demarcation deal with Egypt on August 26,2020-08-20
3674,Egypt’s ambassador to Vatican awarded knighthood for services,2020-08-20
3675,Egypt’ Sisi discusses cooperation with German Lürssen CEO ,2020-08-20
3676,Egypt's Shoukry and Italy's Di Maio discuss developments in Libya and Palestine ,2020-08-20
3677,Two Egyptian men detained for terrifying youth with special needs using a dog,2020-08-20
3678,"Egypt detects 161 new coronavirus cases, 13 fatalities on Wednesday",2020-08-20
3679,Egypt allows Friday prayers at major mosques starting 28 August,2020-08-19
3680,EgyptAir operates first flight to Taba on Wednesday; flights to run till September,2020-08-19
3681,Egypt to require all those arriving to country to present negative PCR test starting 1 September,2020-08-19
3682,"Egypt, Ethiopia and Sudan discuss GERD accord; draft agreement to be presented to ministers Friday",2020-08-19
3683,Egypt court sentences 42 to prison for attempting to prevent burial of coronavirus victim,2020-08-19
3684,Train conductor sentenced to 3 years for forcing passengers to jump off moving train,2020-08-19
3685,Mostaqbal Watan Party secures majority in Egypt's Senate elections,2020-08-19
3686,Egypt's Sisi orders ‘highest level of preparedness’ in meeting with army chiefs,2020-08-19
3687,"Russia willing to cooperate with Egypt to produce coronavirus vaccine, ambassador tells MENA",2020-08-19
3688,Egypt sends 14 tons of medical supplies to flood-hit Sudan,2020-08-19
3689,"Egypt reports 163 new coronavirus cases, 11 deaths",2020-08-19
3690,"More than 100,000 tourists have visited Egypt since July reopening: Govt",2020-08-18
3691,Trilateral GERD talks set to continue on Wednesday,2020-08-18
3692,Egyptian parliament approves maritime demarcation deal with Greece,2020-08-18
3693,Court upholds order to freeze funds of Egyptian TikTokers jailed for 'violating family values',2020-08-18
3694,"Egypt gov't, students praise Cambridge for reversing downgrade of IGCSE marks ",2020-08-18
3695,Egypt to announce Senate election results on Wednesday,2020-08-18
3696,"Egypt shrinks subsidized bread loaf by 20 grams, revises cost of flour",2020-08-18
3697,"Egypt's coronavirus recoveries reach over 60,000 on Monday",2020-08-17
3698,Egypt’s Sisi reviews New Administrative Capital developments ,2020-08-17
3699,Egypt’s IGCSE students outraged over downgraded results,2020-08-17
3700,Egypt’s Sisi calls for establishing national projects to counter water shortage,2020-08-17
3701,Bi-fuel system conversion focused on microbuses and taxis: Trade minister,2020-08-17
3702,"Egypt sends sixth airlift to Lebanon loaded with medical, food supplies",2020-08-17
3703,Thursday paid holiday for private sector employees to mark Islamic new year ,2020-08-17
3704,Egypt's PM urges precautionary measures to avoid coronavirus resurgence ,2020-08-17
3705,Egypt parliament committee approves maritime demarcation deal with Greece,2020-08-17
3706,Egypt's unemployment rate up to 9.6% in Q2 due to coronavirus outbreak: CAPMAS,2020-08-17
3707,Authorities reopen Cairo's Ring Road after removing spilled diesel fuel following collision,2020-08-17
3708,Egypt condemns repeated attacks by Iran-backed Houthis on Saudi Arabia,2020-08-17
3709,Egypt disposing of dangerous materials at ports: Finance minister,2020-08-17
3710,"Egypt reports 139 new coronavirus cases, 19 deaths",2020-08-17
3711,"Egypt, Ethiopia, and Sudan to continue GERD negotiations on Tuesday",2020-08-16
3712,Cairo metro fares to be increased starting Monday,2020-08-16
3713,"Egypt’s prosecution investigating collapse of three buildings in Assiut, Alexandria ",2020-08-16
3714,Egypt parliament to discuss new law redrawing electoral districts to pave way for elections,2020-08-16
3715,Egypt's Sisi inaugurates fourth phase of Cairo Metro's third line,2020-08-16
3716,"Egypt, Ethiopia, Sudan resume GERD negotiations ",2020-08-16
3717,Thursday a public holiday in Egypt to mark Hijri new year ,2020-08-16
3718,Egyptian hospitals ready to treat Sudanese revolution's injured: Health minister,2020-08-16
3719,"Egypt detects 116 new coronavirus cases, 17 deaths on Saturday",2020-08-15
3720,"Egypt, Sudan to boost cooperation in electrical connectivity, infrastructure, health sectors",2020-08-15
3721,Pope urges Nile states to continue talks over disputed dam,2020-08-15
3722,"Egypt, Sudan PMs stress necessity of negotiating to reach binding agreement on GERD",2020-08-15
3723,Egypt's parliament to hold last session before summer recess Tuesday,2020-08-15
3724,"Egypt sends three jets loaded with 28 tons of food, medical aid to Beirut ",2020-08-15
3725,Four injured in building collapse in Downtown Cairo,2020-08-15
3726,Egypt's PM arrives in Sudan for talks with Sudanese officials ,2020-08-15
3727,Ancient Egyptian artefacts to go on display at Prague's National Museum for 6 months,2020-08-15
3728,Egypt delivers two tons of medical aid to Beirut's hard-hit Karantina hospital,2020-08-15
3729,"Egypt reports 112 new coronavirus cases, 17 deaths on Friday",2020-08-15
3730,Egypt sends emergency food aid to Sudan,2020-08-14
3731,Egypt's prosecution investigates death of jailed Muslim Brotherhood figure Essam El-Erian,2020-08-14
3732,Egypt's prime minister to visit Sudan on Saturday,2020-08-14
3733, Second Egyptian doctor dies of coronavirus in Kuwait,2020-08-14
3734,Arab League observation mission praises Egypt’s Senate elections,2020-08-14
3735,"Egypt reports 145 new coronavirus cases, 22 deaths",2020-08-13
3736,Egypt’s Sisi congratulates Abu Dhabi's crown prince on 'historic step for peace' ,2020-08-13
3737,Egypt's Sisi welcomes UAE-Israel agreement,2020-08-13
3738,"Egypt-Greece maritime deal will bring stability to Eastern Mediterranean: Sisi, Greek PM",2020-08-13
3739,Jailed Muslim Brotherhood leading member Essam El-Erian dies from heart attack ,2020-08-13
3740,"One killed, 3 missing after ferry capsizes in Egypt's Nile Delta",2020-08-13
3741,"'Egypt denounces any Turkish practices detracting from Iraq's sovereignty,' FM Shoukry tells Iraqi counterpart",2020-08-13
3742,In Photos: Vote count begins after polling stations close nationwide in Egypt's Senate elections,2020-08-12
3743,Egypt detects 129 new coronavirus cases; 26 deaths on Wednesday,2020-08-12
3744,Head of Egypt’s General Intelligence Service in South Sudan for meetings with President Salva Kiir,2020-08-12
3745,Egypt cabinet approves harsher penalties for assaulting public workers,2020-08-12
3746,New head of Egypt's Court of Cassation sworn in by President Sisi,2020-08-12
3747,In Photos: Second day of voting for Egypt's new Senate goes smoothly,2020-08-12
3748,Egypt condemns Turkish drone attack on Iraqi border patrol,2020-08-12
3749,Egypt's fourth airlift arrives in Lebanon loaded with 14 tons of flour,2020-08-12
3750,"At least six killed, dozens injured in family feud in Egypt's Fayoum",2020-08-12
3751,"Egypt reports 168 new coronavirus cases, 24 deaths on Tuesday",2020-08-11
3752,Egyptians vote in Senate elections amid tight measures against coronavirus,2020-08-11
3753,"In Beirut, Egypt's Shoukry says Lebanon needs 'new direction,’ pledges support",2020-08-11
3754,Egypt's Senate elections trending on social media,2020-08-11
3755,Egypt opens Rafah crossing to Palestinians for the first time since April,2020-08-11
3756,GERD talks postponed for a week for consultations upon Sudan's request ,2020-08-10
3757,"UK's EasyJet to resume flights to Sharm El-Sheikh, Hurghada in September",2020-08-10
3758,"Egypt reports 174 new coronavirus cases, 26 deaths on Monday",2020-08-10
3759,Egypt’s FM urges global support for Lebanon at UN meeting ,2020-08-10
3760,Egypt’s isolation hospitals to reopen in preparation for possible second wave of COVID-19,2020-08-10
3761,Egypt's parliamentary committee approves French grant to improve food wholesale trade markets,2020-08-10
3762,VIDEO: Egypt says promotional tourism clip garners 80 million views on Facebook,2020-08-10
3763,Egypt Armed Forces to secure Senate elections along with interior ministry ,2020-08-10
3764,US donates 250 ventilators to support Egypt’s coronavirus efforts,2020-08-10
3765,Third Egyptian military plane carrying aid to Lebanon lands in Beirut ,2020-08-10
3766,Egypt begins disinfection of polling stations ahead of Senate elections,2020-08-10
3767,"Egypt reports 178 new coronavirus cases, 17 deaths on Sunday",2020-08-09
3768,Egyptian ministry forms high-ranking committee to re-assess storage of hazardous shipments,2020-08-09
3769,"Egypt’s Sisi calls on Lebanese people to unite, avoid disputes and regional conflicts",2020-08-09
3770,Expatriate Egyptians begin voting in Senate elections,2020-08-09
3771,Egypt urges citizens to adhere to preventive measures in anticipation of a rise in coronavirus cases,2020-08-09
3772,Egypt's new school year to kick off 17 October: Minister,2020-08-09
3773,Egypt parliament committee approves allowing ministry to change studying systems 'whenever necessary',2020-08-09
3774,"Egypt dispatching more shipments of medical aid, food supplies for Lebanon",2020-08-09
3775,Sudan to boycott Monday's GERD negotiations over Ethiopia's failure to commit to agenda,2020-08-09
3776,"Nine people killed, seven injured in road crash north of Cairo",2020-08-09
3777,"Egypt detects 167 new coronavirus cases, 21 deaths ",2020-08-08
3778,Egypt puts in place security plan ahead of Senate elections: Ministry,2020-08-08
3779,Egypt sends second batch of aid to Lebanon,2020-08-08
3780,Egypt repatriates bodies of three nationals killed in Beirut blast,2020-08-08
3781,Electoral silence begins Saturday ahead of Senate election,2020-08-08
3782,Egypt detects 141 new coronavirus cases; 20 deaths on Friday,2020-08-07
3783,Ethiopia says US pressure on Addis Ababa could damage Nile dam talks,2020-08-07
3784,Compulsory negative COVID-19 test result for some foreign travellers to Egypt starts 15 August: Ministry,2020-08-07
3785,Bodies of three Egyptians killed in deadly Beirut blast to be repatriated Saturday,2020-08-07
3786,Egyptian authorities urge vehicle owners to obtain new registration stickers before October deadline,2020-08-07
3787,Egyptian expats to begin voting for Senate elections by post on Sunday: NEA,2020-08-07
3788,"INTERVIEW - Egypt faces unprecedented challenges from Libya, Ethiopia: Parliament speaker",2020-08-07
3789,Prosecution investigates building collapse in Egypt's Mahalla that killed 8,2020-08-07
3790,"Egypt, Greece sign maritime demarcation deal",2020-08-07
3791,Egypt's daily coronavirus cases stay below 200 for fifth day in a row,2020-08-06
3792,Egypt to require negative COVID-19 test for some travellers,2020-08-06
3793,Turkey's response to Egypt-Greece maritime demarcation deal is ‘surprising’: Cairo,2020-08-06
3794,"Egyptian, US foreign ministers discuss Libya, GERD and Palestine",2020-08-06
3795,Egypt's prosecution releases deputy head of Strong Egypt Party,2020-08-06
3796,South Africa calls for 'amicable solution' for GERD,2020-08-06
3797,Five Egyptian men arrested for verbally assaulting TV presenter at beach,2020-08-06
3798,"Small aircraft crashes in Egypt's Gouna, kills two",2020-08-06
3799,"Egypt reports 123 new coronavirus cases, 18 deaths",2020-08-05
3800,Egypt’s prosecution to investigate alleged gang rape at Fairmont Hotel in 2014 ,2020-08-05
3801,Egypt rejects Ethiopia’s latest proposal on GERD: Irrigation ministry ,2020-08-05
3802,Foreigners staying in Cairo without residency permits not allowed in major resort towns: EgyptAir,2020-08-05
3803,Egypt's field hospital in Beirut receives wounded of Lebanon's blast,2020-08-05
3804,Three Egyptians killed in Beirut explosion: Ministry ,2020-08-05
3805,"Egypt, Spain FMs discuss Libyan, Palestinian, Eastern Mediterranean developments",2020-08-05
3806,Egypt's Sisi pledges full support to Lebanon after massive explosion,2020-08-05
3807,"Egypt says Ethiopia's GERD proposal goes back on agreements, excludes legally binding mechanism",2020-08-04
3808,Sudan threatens to withdraw from GERD talks if Ethiopia insists on Blue Nile convention,2020-08-04
3809,"Egypt reports 112 new coronavirus cases, 24 deaths",2020-08-04
3810,Egypt's Sisi offers condolences to Lebanon after Beirut explosion ,2020-08-04
3811,Egyptian MP dies of heart attack,2020-08-04
3812,81.5% of students pass Egypt's 2020 Thanaweya Amma exams,2020-08-04
3813,GERD - Legal and technical committees to discuss points of contention 4-5 August,2020-08-04
3814,Egypt hails appointment of LSE's Egypt-born director to Britain's House of Lords,2020-08-04
3815,Egypt Judges' Club slams remarks by Germany's rights commissioner on jailing of female influencers,2020-08-04
3816,Egypt's daily tally of new COVID-19 cases falls to lowest since mid-April,2020-08-03
3817,Egypt’s Coptic Orthodox Church resumes masses on Monday ,2020-08-03
3818,"Egypt detects 167 new coronavirus cases, 31 deaths on Sunday",2020-08-03
3819,Egypt says Turkey's seismic survey in Mediterranean a 'violation of sovereign rights',2020-08-02
3820,Egypt following up on fatal shooting of national in Jordan,2020-08-02
3821,"Egypt's coronavirus recoveries surpass 41,000 on Saturday",2020-08-02
3822,Kuwait to review flight suspension from Egypt: Egyptian foreign ministry,2020-08-02
3823,Egypt expresses solidarity with Sudan after dam collapse,2020-08-02
3824,EgyptAir cancels flights to Kuwait 'until further notice' ,2020-08-01
3825,Egypt's Sisi congratulates UAE on operation of Barakah nuclear power plant,2020-08-01
3826,Egypt’s Coptic Orthodox Church prepares to reopen churches on Monday,2020-08-01
3827,Egypt invites Elon Musk to visit Giza Pyramids following controversial tweet,2020-08-01
3828,"Kuwait bans flights to several 'high risk' countries, including Egypt",2020-08-01
3829,"Cairo pushes for political solution to libya crisis away from external interference, Egypt’s FM tells UN Secretary-General",2020-07-31
3830,Egypt may hold 'early' parliament elections in October: source,2020-07-31
3831,"Women wearing ‘burkinis’ not banned from pools, beaches in Egypt: Govt",2020-07-31
3832,Egypt pumps more coins into market during Eid Al-daha holiday,2020-07-31
3833,"Egypt's Sisi greets Egyptians, Arabs on Eid Al-Adha",2020-07-31
3834,"Egypt reports 321 new coronavirus cases, 31 fatalities on Friday",2020-07-31
3835,"Egypt reports 401 new coronavirus cases, 46 death",2020-07-30
3836,"EGP 2 mln to aid families in Bir Al-Abd, North Sinai: Egypt’s social solidarity ministry ",2020-07-30
3837,Pandemic casts shadow over Egyptians’ Eid Al-Adha sacrifices amid economic crunch ,2020-07-30
3838,Egypt's Thanaweya Amma exam results to be announced on 6 August: Official ,2020-07-30
3839,Egypt to see rise in temperature during Eid Al-Adha holiday,2020-07-29
3840,"Egypt surpasses 93,000 coronavirus infections, 409 cases recorded on Wednesday",2020-07-29
3841,Egypt celebrates becoming Hepatitis-free,2020-07-29
3842,Egypt's Taba Airport to start receiving international flights starting 5 August,2020-07-29
3843,Egypt praises Saudi Arabia's efforts to resolve conflict in Yemen,2020-07-29
3844,Egypt may adopt preventive measures again if coronavirus infections resurge: PM,2020-07-29
3845,Egyptian TikToker sentenced to 3 years for 'inciting immorality and debauchery',2020-07-29
3846,Egyptian Amany Abo Zeid among top 100 most reputable Africans ,2020-07-29
3847,"Egypt records less than 1,000 new coronavirus infections for 20th consecutive day",2020-07-28
3848,"Egypt’s foreign minister discusses GERD dispute, Libya crisis with US congressmen",2020-07-28
3849,Egypt won't allow its national security to be endangered by the Libyan crisis: Foreign minister,2020-07-28
3850,"Head of Egypt’s General Intelligence Service meets with Sudan officials, discusses GERD",2020-07-28
3851,Doctors Syndicate mourns Egypt's ‘doctor of the poor’,2020-07-28
3852,Egypt following up on murder of two nationals in Saudi Arabia: Emigration minister,2020-07-28
3853,Egypt's Mostaqbal Watan Party expected to dominate Senate elections,2020-07-28
3854,Egypt’s Sisi inaugurates new textile industrial complex in Sharqiya governorate,2020-07-28
3855,Egypt's Sisi reiterates negotiations are the way forward on the GERD dispute,2020-07-28
3856,Egypt's National Elections Authority issues final list of senate election candidates,2020-07-28
3857,"Egypt reports 420 new coronavirus cases, 46 fatalities on Monday",2020-07-27
3858,Egypt's prosecution releases Masr Al-Arabiya editor Adel Sabry pending investigations,2020-07-27
3859,Eid Al-Adha holiday in Egypt from Thursday to Monday,2020-07-27
3860,"Egypt's transport minister inspects Zamalek building, Bahrain embassy damaged by subsidence",2020-07-27
3861,"Egypt, Sudan voice concerns over unilateral filling of GERD at start of second round of AU-mediated talks ",2020-07-27
3862,Egypt's Mostaqbal Watan Party slated to win Senate election: Political analyst,2020-07-27
3863,"'Libya should not turn into terrorist base, would threaten regional security,' Sisi tells Saudi FM",2020-07-27
3864,"'Egypt will not accept violations of red lines in Libya,' FM Shoukry says",2020-07-27
3865,In Photos: Egyptian army chief-of-staff inspects combat readiness of troops in western military region ,2020-07-27
3866,2 Egyptian influencers sentenced to 2 years in prison over TikTok videos that 'violated family values',2020-07-27
3867,"Egypt's FM discusses regional, int'l developments with Saudi counterpart",2020-07-27
3868,"Egypt warns against excessive intake of vitamins, medications to prevent coronavirus ",2020-07-27
3869,"Egyptian foreign minister discusses GERD, Libya with UK counterpart",2020-07-26
3870,"Egypt reports 479 new coronavirus cases, 48 deaths",2020-07-26
3871,Egypt sends medical aid to Yemen,2020-07-26
3872,"Massive blaze destroys 20,000-square-metre warehouse in 6 October City",2020-07-26
3873,Egypt ready to face any possible second wave of coronavirus: Health official,2020-07-26
3874,Kuwaiti citizen arrested for slapping Egyptian worker ,2020-07-26
3875,Six defendants referred to criminal court over sexual abuse of Egyptian TikTok teenager,2020-07-26
3876,Initial GERD filling will not impact Egypt this year: Egyptian irrigation ministry ,2020-07-26
3877,Egypt court sentences 2 men to 2 years in prison for bullying Sudanese child,2020-07-26
3878,"Egypt rejects unilateralism compromising right to Nile water, Sisi tells South African counterpart ",2020-07-26
3879,"Egypt's coronavirus recoveries surpass 32,000",2020-07-25
3880,"Egypt's South Sinai, Red Sea nature reserves to reopen with half-price tickets ",2020-07-25
3881,"Egypt, France conduct naval drill in Mediterranean: Military spokesperson",2020-07-25
3882,"EgyptAir receives seventh Airbus A320Neo, announces highest operating rate since resumption of flights",2020-07-25
3883,"Egypt's Sisi, Ukraine's Zelensky discuss Libyan crisis ",2020-07-25
3884,"Egypt reports 659 new coronavirus cases on Friday, 38 deaths",2020-07-24
3885,"Ethiopia wants non-binding agreement on GERD, contrary to Sudan, AU ",2020-07-24
3886,Video: Egypt’s National Elections Authority releases tutorial on upcoming senate elections,2020-07-24
3887,Egypt’s foreign minister discusses Libya with Chinese counterpart,2020-07-24
3888,Egyptian foreign minister discusses Libya developments with European counterparts,2020-07-24
3889,"Egypt surpasses 90,000 coronavirus cases on Thursday",2020-07-23
3890,Egypt stresses need for its share of potential coronavirus vaccine to GAVI alliance: Cabinet,2020-07-23
3891,"Egypt’s Sisi discuses Libya, East Mediterranean developments with Greece prime minister",2020-07-23
3892,Sudan insists on the necessity of a binding agreement on GERD,2020-07-23
3893,Egypt's prosecution investigates drowning of four people in Alexandria,2020-07-23
3894,The golden songs for the 1952 Revolution – and beyond,2020-07-23
3895,The 23 July Revolution remains one of the most important milestones of pride in Egypt's history: Sisi,2020-07-23
3896,Egypt expected to record Zero coronavirus cases by mid-September: Official,2020-07-23
3897,Ethiopia makes controversial statements on filling GERD one day after agreeing to continue AU-sponsored negotiations,2020-07-23
3898,"23 July Revolution anniversary paid holiday for Egypt's banks, private sector",2020-07-23
3899,Egypt's Sisi ratifies extension of state of emergency for three months,2020-07-22
3900,"Egypt detects 667 new coronavirus cases on Wednesday; infections tally nears 90,000",2020-07-22
3901,"Egypt extends operating hours for cafes, restaurants until midnight starting Sunday ",2020-07-22
3902,Egypt launching initiative to stimulate local consumption ,2020-07-22
3903,"Egypt delivers medications to over 24,000 coronavirus patients in home isolation: Minister",2020-07-22
3904,"Egypt's FM tells French, German counterparts Libya crisis needs firm response to foreign interference",2020-07-22
3905,AU summit stresses on need for binding deal over GERD: Egypt,2020-07-22
3906,"Egyptian military foils terrorist attack in North Sinai, killing 18 takfiris",2020-07-21
3907,Egypt’s Shoukry stresses necessity of ceasefire in Libya during call with Russia’s Lavrov,2020-07-21
3908,Egypt’s licence to defend,2020-07-21
3909,"Egypt agrees with Ethiopia, Sudan to prioritise reaching a binding deal on filling, operating GERD: Presidency",2020-07-21
3910,"Egypt reports 676 new Coronavirus cases, 47 deaths ",2020-07-21
3911,"Egypt's Sisi, Saudi King Salman agree on continued coordination on Arab and regional issues",2020-07-21
3912,"South Africa to host mini-summit on GERD with leaders of Egypt, Ethiopia and Sudan after latest talks fail to reach accord",2020-07-21
3913,Egypt's universities to begin new year on 17 October; 'hybrid' education model to be implemented ,2020-07-21
3914,Cairo’s major demand in GERD talk is the release of water during dry periods: Egyptian negotiator ,2020-07-21
3915,EgyptAir to increase international destinations to 35 starting August,2020-07-21
3916,Egypt's Rameda to offer drug for treating critical COVID-19 cases starting September,2020-07-21
3917,Egypt's parliament approves sending troops abroad to defend national security ,2020-07-21
3918,Thursday paid holiday for public employees in Egypt to mark anniversary of 23 July revolution,2020-07-21
3919,Egyptian parliament's decision comes in response to Libyan demands: Libya's parliament,2020-07-20
3920,Egypt’s Sisi reiterates support of Yemeni legitimate government,2020-07-20
3921,"Egypt's Sisi, Trump discuss Libya, GERD developments ",2020-07-20
3922,"Egypt reports 627 new Coronavirus cases, 50 deaths on Monday",2020-07-20
3923,Egypt celebrates Eid El-Adha starting 31 July,2020-07-20
3924,China picks Egypt as future hub to manufacture coronavirus vaccine in Africa,2020-07-20
3925,Egypt parliament begins discussing Sisi’s Libya mandate in closed-door meeting,2020-07-20
3926,"Egypt parliament approves CBE, coronavirus tax law",2020-07-20
3927,Egypt rejects Israeli plan to annex parts of West Bank: Shoukry tells Palestine's Abbas,2020-07-20
3928,Egypt's parliament approves extending state of emergency for additional three months,2020-07-20
3929,"Egypt launches Closing Gender Gap Accelerator, the first in Africa and MENA region",2020-07-20
3930,"Egypt will keep pushing for GERD agreement, stability in Libya: Presidency",2020-07-20
3931,Egypt parliament to take final vote on emergency and economic laws on Monday,2020-07-20
3932,Egypt FM heads to Ramallah for talks with Palestine's Abbas ,2020-07-20
3933,Egypt Parliament delays session on mandating Sisi for military intervention in Libya to Monday,2020-07-20
3934,Egypt’s electoral authority accepts 762 candidates for upcoming Senate elections,2020-07-19
3935,Egypt's new coronavirus cases decline for third day in a row,2020-07-19
3936,Egypt’s Sisi discusses the latest Palestinian developments with Mahmoud Abbas,2020-07-19
3937,Egypt and Jordan renew rejection of any unilateral Israeli actions on West Bank,2020-07-19
3938,"Egypt keen to provide political, logistical support to Yemen: PM ",2020-07-19
3939,"'Egypt will not stand idle in the face of Ethiopia’s Nile dam,' irrigation minister tells MPs",2020-07-19
3940,Egypt appoints new military production minister,2020-07-19
3941,Egypt approves reopening 505 nurseries under strict preventive measures against coronavirus,2020-07-19
3942,"Egypt's FM heads to Amman, Ramallah to support Palestinians amid Israeli annexation plan",2020-07-19
3943,912 candidates submit nomination bids for Egypt's upcoming Senate elections: NEA,2020-07-19
3944,"Egypt's coronavirus cases surpass 87,000",2020-07-18
3945,Egypt's interior minister announces 2020 reshuffle,2020-07-18
3946,Egypt's parliament to mandate Sisi to intervene militarily in Libya,2020-07-18
3947,Egypt condemns Turkey's political and military interference in Arab affairs,2020-07-18
3948,Egypt's Coptic Orthodox Church defrocks priest abroad over sexual abuse allegations,2020-07-18
3949,Egypt to announce initial list of Senate candidates Sunday,2020-07-18
3950,"Egypt reports 703 new coronavirus cases, 68 deaths on Friday",2020-07-17
3951,"Egypt's prime minister says no retreat on reclaiming all transgressed public, private properties",2020-07-17
3952,African Union to hold mini-summit on GERD on Tuesday ,2020-07-17
3953,"Egyptian, Italian foreign ministers discuss consequences of foreign interference in Libya",2020-07-17
3954,"Nile water an existential issue for Egyptians, Sisi tells AU chair",2020-07-17
3955,"Egypt's daily coronavirus cases stay below 1,000 for eighth day in a row",2020-07-16
3956,"Egypt, Saudi Arabia stress the necessity of resolving Libyan crisis ",2020-07-16
3957,"Egypt pushes new school year back to 17 October, no decision yet on in-classroom learning: Ministry",2020-07-16
3958,Ethiopia denies it began filling GERD reservoir: Sudan,2020-07-16
3959,"Egypt can change the military scene in Libya, Sisi tells Libyan tribal leaders",2020-07-16
3960,Major fire on Egypt's highway caused by crack in pipeline: Prosecution statement,2020-07-16
3961,"Egypt's Sisi, France's Macron agree on need to stop all illegal interventions in Libya: Presidency",2020-07-16
3962,Egypt's Sisi to meet with delegation of Libyan tribes' leaders in Cairo on Thursday ,2020-07-16
3963,Cairo receives Libyan tribe delegation after Libya parliament calls for Egypt military intervention ,2020-07-15
3964,"Egypt detects 913 new coronavirus cases on Wednesday, total tally nears 85,000",2020-07-15
3965,Egypt approves amendments criminalising bullying; penalties to include jail terms,2020-07-15
3966,Egypt demands Ethiopia explain reports that GERD filling process has started ,2020-07-15
3967,"Egypt, US discuss increasing military cooperation",2020-07-15
3968,"Egypt homeless, street children hit hard by pandemic scourge",2020-07-15
3969,Turkey's actions in Libya impinge on Arab national security: Arab League head ,2020-07-15
3970,Coronavirus will turn into a seasonal illness like flu: President's health adviser,2020-07-15
3971,Sudan says 'limited progress' achieved during GERD talks,2020-07-14
3972,"Egypt's Chamber of Tourism Establishments demands government reconsider its restaurant guidelines, closing hours",2020-07-14
3973,"Egypt reports 929 new coronavirus cases, 73 deaths on Tuesday",2020-07-14
3974,Egypt’s Court of Cassation upholds acquittal of Mubarak-era interior minister Habib El-Adly,2020-07-14
3975,Ethiopia says ‘negotiated agreement’ only way to resolve GERD differences,2020-07-14
3976,Egypt is ready to defend Libya and will not let its people down: Deputy parliament speaker,2020-07-14
3977,"Egypt's court upholds life sentences for top Brotherhood leader Badie, others",2020-07-14
3978,Egypt to celebrate Eid Al-Adha on 31 July: Geophysics institute,2020-07-14
3979,Egypt says 'significant harm' to water security from GERD would be a 'red line' ,2020-07-14
3980,Satellite images show Ethiopia dam reservoir swelling,2020-07-14
3981,Egypt's FM says concluding GERD talks without agreement is 'regrettable',2020-07-13
3982,"Cairo, Alexandria churches to remain closed until 3 August",2020-07-13
3983,AU-brokered GERD talks end with no agreement: Egypt's irrigation ministry,2020-07-13
3984,"Egypt registers 931 new coronavirus cases, 77 fatalities on Monday",2020-07-13
3985,"Egypt, Saudi Arabia, Greece, Cyrpus, Bahrain urge UN not to register Turkish maritime boundaries deal with GNA",2020-07-13
3986,"Addis Ababa hasn’t started filling GERD, says Ethiopian FM",2020-07-13
3987,"Egypt appoints new ambassadors to several countries, including US",2020-07-13
3988,Sisi urges to complete plasma derivatives national project,2020-07-13
3989,Egypt receives second of 32 trains from Hyundai Rotem for Cairo metro,2020-07-13
3990,"Egypt condemns Houthi missile attack on Saudi Arabia, stresses full solidarity with the kingdom ",2020-07-13
3991,Egypt's irrigation ministry: Tenth day of GERD talks see continued disagreements,2020-07-13
3992,In Photos: Coronavirus awareness campaign launched in Cairo metro stations ,2020-07-13
3993,EgyptAir offers discounted tickets of up to 20% for medical workers,2020-07-13
